temperature,CO2_loading,CO2_partial_pressure
40,0.145893837,0.021600113
40,0.227208639,0.10580588
40,0.257441359,0.18395258
40,0.30898753,0.525518774
40,0.371771798,1.946326457
40,0.43050862,10.18412046
60,0.131842813,0.093001263
60,0.168989113,0.142657284
60,0.193372712,0.297242447
60,0.274688978,1.40628453
60,0.329442083,3.989958511
60,0.37009438,9.968560311
60,0.382288008,13.777998
60,0.411289221,24.90557092
