temperature,CO2_loading,CO2_partial_pressure
40,0.172161742,0.028679038
40,0.220062208,0.060574219
40,0.273561431,0.210616909
40,0.338880249,0.801787056
40,0.408242613,5.691510643
40,0.413219285,6.978923501
60,0.163452566,0.138500523
60,0.225660964,0.3669236
60,0.295956454,1.290330928
60,0.330171073,3.304191355
60,0.385847589,18.48896793
