temperature,CO2_loading,CO2_partial_pressure
40,0.208174179,0.043496292
40,0.240870894,0.101401867
40,0.283346066,0.233777603
40,0.343544691,0.983433189
40,0.418105424,4.83505536
60,0.216424752,0.298683759
60,0.241787624,0.84145371
60,0.325210084,1.939935018
60,0.369518717,8.252126957
