temperature,nominal_molality_PZ,moles_PZ_dissolved,moles_CO2_dissolved,moles_PZ_plus_deuterons,moles_monocarbamate,moles_bicarbamate
333.15,1,0.9996,0.6455,0.5487,0.2448,0.2061
333.15,1,0.9998,0.4881,0.7039,0.2526,0.0433
333.15,1,0.9998,0.3386,0.777,0.1842,0.0385
333.15,1,0.9998,0.2361,0.8259,0.1514,0.0225
333.15,0.49,0.499,0.504,0.2919,0.2071,NaN
333.15,0.49,0.463,0.3917,0.2491,0.1195,0.0944
333.15,0.49,0.463,0.3149,0.3024,0.1012,0.0594
333.15,0.49,0.499,0.2555,0.3652,0.0998,0.034
333.15,0.49,0.463,0.2076,0.3661,0.069,0.0278
333.15,0.49,0.499,0.1684,0.3982,0.0894,0.0114
333.15,0.49,0.5122,0.1077,0.4384,0.0709,0.0029
