CO2_loading,temperature,Cp_mass
0,40,3.867647059
0,44.93150685,3.880882353
0,49.9543379,3.894117647
0,54.97716895,3.904411765
0,60,3.916176471
0,64.93150685,3.926470588
0,69.9543379,3.936764706
0,74.97716895,3.945588235
0,80,3.958823529
0,85.02283105,3.982352941
0,89.9543379,3.998529412
0,94.97716895,4.014705882
0,99.9086758,4.029411765
0,105.0228311,4.045588235
0,109.9543379,4.058823529
0,114.8858447,4.072058824
0,119.9086758,4.082352941
0.16,39.9086758,3.745588235
0.16,44.93150685,3.760294118
0.16,49.9543379,3.775
0.16,54.97716895,3.786764706
0.16,59.9086758,3.8
0.16,64.93150685,3.811764706
0.16,69.9543379,3.823529412
0.16,74.97716895,3.832352941
0.16,79.9086758,3.845588235
0.16,84.93150685,3.866176471
0.16,89.9543379,3.883823529
0.16,94.88584475,3.902941176
0.16,99.9086758,3.917647059
0.16,104.9315068,3.930882353
0.16,109.9543379,3.942647059
0.16,114.9771689,3.954411765
0.16,119.9086758,3.967647059
0.27,40,3.633823529
0.27,44.95694586,3.650745281
0.27,49.98142404,3.671141957
0.27,54.93800386,3.691429919
0.27,59.96923324,3.708693531
0.27,64.96084547,3.721790172
0.27,69.94354005,3.733840884
0.27,74.99144408,3.743774682
0.27,80.01592226,3.75904898
0.27,84.94907623,3.781085701
0.27,89.97355441,3.800596782
0.27,94.93013424,3.820338062
0.27,99.88671407,3.83777113
0.27,105.0025164,3.853078215
0.27,109.9356704,3.866745255
0.27,114.9601486,3.883692385
0.27,119.9167284,3.90051803
