temperature,CO2_loading,CO2_partial_pressure
40,0.146646341,0.021032532
40,0.217378049,0.062399444
40,0.27195122,0.211495536
40,0.317682927,0.685716466
40,0.383536585,4.326578405
40,0.4125,8.419788934
60,0.158841463,0.12979352
60,0.217073171,0.43026393
60,0.276829268,1.057052081
60,0.3375,3.504114698
60,0.385060976,13.56844631
