CO2_loading,temperature,Cp_mass
0,40.04514673,3.719417476
0,45.01128668,3.730097087
0,49.97742664,3.741747573
0,54.94356659,3.752427184
0,60,3.76407767
0,64.96613995,3.773786408
0,69.93227991,3.785436893
0,74.89841986,3.797087379
0,79.95485327,3.80776699
0,85.01128668,3.818446602
0,89.97742664,3.829126214
0,94.94356659,3.839805825
0,100,3.851456311
0,104.96614,3.862135922
0,109.9322799,3.873786408
0,114.8984199,3.884466019
0,119.9548533,3.896116505
0.16,39.95997631,3.498547132
0.16,44.98311,3.526201351
0.16,50.0062437,3.547448874
0.16,54.96149721,3.567155546
0.16,60.00640379,3.584773995
0.16,64.96229768,3.604505497
0.16,69.96301811,3.618976795
0.16,74.9861518,3.63422311
0.16,79.94140531,3.650361496
0.16,84.89665882,3.664959031
0.16,89.91979252,3.679556565
0.16,94.94292621,3.692532152
0.16,99.96605991,3.710130291
0.16,104.9891936,3.731377815
0.16,109.943543,3.74945243
0.16,114.8997006,3.764952145
0.16,119.9228343,3.782469187
0.38,40.13544018,3.293203883
0.38,45.01128668,3.340776699
0.38,49.97742664,3.381553398
0.38,55.03386005,3.409708738
0.38,60,3.417475728
0.38,64.96613995,3.431067961
0.38,70.02257336,3.445631068
0.38,74.98871332,3.46407767
0.38,79.95485327,3.484466019
0.38,85.01128668,3.502912621
0.38,89.97742664,3.52038835
0.38,94.94356659,3.540776699
0.38,99.90970655,3.566019417
0.38,104.96614,3.591262136
0.38,109.9322799,3.62038835
0.38,114.9887133,3.644660194
0.38,119.9548533,3.683495146
