CO2_loading,temperature,Cp_mass
0,40.03628269,3.867488272
0,44.99495735,3.881326025
0,49.95363201,3.893745561
0,54.98023372,3.905415468
0,60.00683543,3.914714924
0,65.03343714,3.925837804
0,69.9921118,3.936595999
0,74.95078646,3.945166086
0,79.97738817,3.958841758
0,85.00398988,3.981816886
0,90.03059158,3.999321746
0,94.98926624,4.015367867
0,99.9479409,4.029043539
0,104.9745426,4.044724975
0,110.0011443,4.057671278
0,115.027746,4.071711634
0,119.9864207,4.082469829
0.16,39.96835564,3.745501282
0.16,44.99495735,3.761223239
0.16,50.02155906,3.774676048
0.16,54.98023372,3.78762235
0.16,60.03100354,3.799474599
0.16,65.00926902,3.811565219
0.16,70.03587073,3.823079637
0.16,74.97495457,3.830505941
0.16,79.97738817,3.844695486
0.16,84.93606282,3.865117822
0.16,89.96266453,3.88408142
0.16,94.98926624,3.901910444
0.16,100.015868,3.917632401
0.16,105.0424697,3.930761046
0.16,110.0011443,3.942430952
0.16,114.959819,3.954100858
0.16,119.9864207,3.968364077
0.27,40.03628269,3.630990325
0.27,44.99495735,3.647603733
0.27,49.95363201,3.668917521
0.27,54.98023372,3.689339857
0.27,60.00683543,3.709551836
0.27,65.03343714,3.72070273
0.27,69.9921118,3.732405403
0.27,75.04288162,3.743832186
0.27,80.06948333,3.758419569
0.27,85.00398988,3.781030013
0.27,90.03059158,3.799446584
0.27,95.05719329,3.819686578
0.27,100.0400361,3.837191437
0.27,105.0666378,3.85177882
0.27,110.0011443,3.865636834
0.27,115.027746,3.882412325
0.27,119.9864207,3.899836143
