temperature,test,loading,dH_abs
40,1,0.115,72.944
40,1,0.204,72.766
40,1,0.297,72.15
40,1,0.394,69.705
40,1,0.472,68.797
40,1,0.569,64.366
40,1,0.637,63.53
40,1,0.732,61.683
40,1,0.824,57.979
40,1,0.922,54.151
40,2,0.205,73.657
40,2,0.42,72.25
40,2,0.627,63.521
40,2,0.824,58.112
40,2,0.993,51.875
40,2,1.127,40.583
60,1,0.093,74.526
60,1,0.174,68.552
60,1,0.258,79.82
60,1,0.348,71.451
60,1,0.433,77.049
60,1,0.527,66.23
60,1,0.628,67.547
60,1,0.72,62.75
60,1,0.807,66.848
60,1,0.897,59.88
60,1,0.979,55.353
60,2,0.086,71.971
60,2,0.179,76.398
60,2,0.282,71.886
60,2,0.372,70.988
60,2,0.531,70.644
60,2,0.608,75.921
60,2,0.694,57.41
60,2,0.77,63.348
60,2,0.883,52.002
60,2,0.966,48.133
80,1,0.086,76.55
80,1,0.181,77.009
80,1,0.261,89.688
80,1,0.348,76.366
80,1,0.44,73.541
80,1,0.564,57.481
80,1,0.651,74.438
80,1,0.748,62.043
80,1,0.836,74.035
80,1,0.917,77.533
80,2,0.098,67.661
80,2,0.191,72.988
80,2,0.285,77.365
80,2,0.358,88.056
80,2,0.458,73.203
80,2,0.544,73.602
80,2,0.635,80.041
80,2,0.712,85.233
80,2,0.796,80.242
80,2,0.872,85.407
80,2,0.952,71.498
