temperature,x_PZ,P_tot
199,0,1519.010064
199,0.047885896,1462.794484
199,0.099892362,1391.916434
199,0.14847735,1330.57772
199,0.203905293,1247.610265
199,0.294916608,1131.716195
199,0.34760737,1075.890151
199,0.379084967,1035.121067
199,0.459147553,948.5138102
199,0.520734157,874.7668171
199,0.569319144,830.8512055
199,0.661014755,733.1594354
199,0.722601359,669.9657442
199,0.801979649,588.4784112
199,0.851933228,545.655826
199,0.909414058,482.0038215
199,0.94020736,447.8109423
199,0.999741077,392.2602467
113,0,158.2898287
113,0.101945249,139.14074
113,0.159426079,126.1823968
113,0.207326771,114.6717019
113,0.255227464,103.66477
113,0.325025615,91.9578731
113,0.398245244,81.43025513
113,0.442724458,76.58716236
113,0.461884735,75.46834441
113,0.550843163,67.08656795
113,0.650750321,59.63570069
113,0.727391428,54.25257092
113,0.880673643,43.41501554
113,0.943628838,38.3102631
113,0.999741077,33.59318963
120,0.03488428,196.215564
120,0.066361878,187.9388201
