P_CO2,alpha
0.00147,0.0888
0.00896,0.203
0.0677,0.365
0.604,0.461
2.57,0.513
8.09,0.557
36.1,0.609
103,0.646
293,0.709
993,0.844
2992,0.965
5986,1.049
9969,1.097
14945,1.132
19914,1.18
